day,hour,M32022,A32000,A32001,A32002,A32003,A32004,A32005,A32006,A32007,A32008,A32009,S32002,S32003,S32001,S32006,S32007,S32004,S32005,S32008,D32002,D32021,D32020,D32023,D32022,C32002,C32003,C32000,C32001,C32006,C32007,C32004,C32005,D32001,C32008,C32009,A32012,A32011,A32010,A32017,D32014,D32015,D32016,D32017,D32010,D32011,D32012,D32013,D32018,D32019,C32011,C32010,C32013,C32015,D32005,D32003,M32023,M32020,D32000,D32007,D32006,M32024,D32004,D32009,D32008,B32018,B32019,M32037,B32012,M32038,B32010,B32011,B32016,B32017,B32014,B32015,K32002,K32003,K32001,B32009,B32008,M32009,M32005,B32003,M32007,B32005,B32004,M32002,B32006,B32013,M32019,M32018,M32013,M32012,M32011,M32010,M32017,M32016,M32014,B32000,M32006,B32002,M32001,B32007,M32003,C32014,total
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10
0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,6,0,0,0,1,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,5,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,43
0,7,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,3,1,0,0,2,0,0,0,1,0,0,8,0,0,0,8,2,3,2,1,0,0,0,0,0,0,0,5,24,0,0,0,0,4,0,1,0,8,1,0,0,0,0,0,1,2,0,0,2,0,0,0,0,2,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,115
0,8,0,2,0,0,1,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,3,4,0,0,6,0,0,0,0,3,1,13,0,0,1,3,1,5,1,0,0,0,0,0,0,0,0,8,21,0,0,1,2,13,0,0,0,5,0,0,0,0,0,0,0,2,0,0,5,0,0,0,1,6,0,0,2,0,6,10,0,2,1,0,0,0,0,0,0,0,0,0,2,0,3,0,3,0,0,166
0,9,0,4,1,1,0,2,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,6,2,0,0,0,3,3,0,9,0,0,0,1,1,3,6,1,0,0,0,0,0,0,0,2,5,0,0,0,0,3,0,2,0,3,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,4,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,87
0,10,0,1,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,4,0,0,0,0,0,0,0,0,4,2,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,46
0,11,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,2,0,0,0,0,2,0,4,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,6,0,0,0,0,2,2,0,0,0,6,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,49
0,12,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,2,4,0,1,0,0,5,1,5,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,61
0,13,0,1,0,0,0,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,2,2,0,0,0,0,1,2,0,1,0,0,0,2,0,3,6,1,0,0,0,0,0,0,0,7,1,0,0,1,1,5,0,0,0,2,4,0,0,0,0,1,0,0,0,0,5,0,0,0,0,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,74
0,14,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,3,0,3,2,2,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,2,2,2,1,0,0,0,0,1,0,1,0,0,9,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
0,15,0,0,0,0,0,3,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,2,0,0,0,0,2,2,3,0,0,1,1,0,2,0,2,0,0,0,0,0,0,0,7,3,0,0,3,0,4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,2,3,0,0,8,0,1,5,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,75
0,16,0,0,1,0,2,6,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,0,2,3,2,0,0,0,1,2,0,15,0,0,4,3,2,1,7,5,0,2,0,0,0,0,0,6,4,0,0,0,4,10,0,2,1,3,0,0,0,0,0,1,2,0,0,0,2,0,0,0,1,2,0,0,5,0,6,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,5,0,0,136
